Date,FTSE
27/06/2019,4097.05
28/06/2019,4112.92
01/07/2019,4152.18
02/07/2019,4181.7
03/07/2019,4209.46
04/07/2019,4207.03
05/07/2019,4178.75
08/07/2019,4174.43
09/07/2019,4164.61
10/07/2019,4160.29
11/07/2019,4151.4
12/07/2019,4153.31
15/07/2019,4166.37
16/07/2019,4189.95
17/07/2019,4169.13
18/07/2019,4146.76
19/07/2019,4156.95
22/07/2019,4160.75
23/07/2019,4183.78
24/07/2019,4159.24
25/07/2019,4154.59
26/07/2019,4183.75
29/07/2019,4248.64
30/07/2019,4226.32
31/07/2019,4194.75
01/08/2019,4192.77
02/08/2019,4097.17
05/08/2019,3999.05
06/08/2019,3973.96
07/08/2019,3989.73
08/08/2019,4036.95
09/08/2019,4020.51
12/08/2019,4001.8
13/08/2019,4016.27
14/08/2019,3958.97
15/08/2019,3918.32
16/08/2019,3947.79
19/08/2019,3990.86
20/08/2019,3957.74
21/08/2019,4001.24
22/08/2019,3965.9
23/08/2019,3951.5
27/08/2019,3952.36
28/08/2019,3959.56
29/08/2019,3994.97
30/08/2019,4009.02
02/09/2019,4046.77
03/09/2019,4039.79
04/09/2019,4065.07
05/09/2019,4047.45
06/09/2019,4054.54
09/09/2019,4031.98
10/09/2019,4048.98
11/09/2019,4089.81
12/09/2019,4092.24
13/09/2019,4110.74
16/09/2019,4084.74
17/09/2019,4083.6
18/09/2019,4081.11
19/09/2019,4102
20/09/2019,4099.37
23/09/2019,4086.33
24/09/2019,4065.98
25/09/2019,4060.38
26/09/2019,4090.23
27/09/2019,4130.32
30/09/2019,4120.79
01/10/2019,4096.37
02/10/2019,3972.46
03/10/2019,3947.21
04/10/2019,3987.82
07/10/2019,4005.49
08/10/2019,3972.57
09/10/2019,3982.4
10/10/2019,3993.81
11/10/2019,4049.61
14/10/2019,4030.18
15/10/2019,4038.49
16/10/2019,4017.91
17/10/2019,4025.71
18/10/2019,4011.23
21/10/2019,4020.05
22/10/2019,4038.37
23/10/2019,4060.67
24/10/2019,4090.93
25/10/2019,4087.5
28/10/2019,4094.34
29/10/2019,4081.31
30/10/2019,4090.82
31/10/2019,4049.41
01/11/2019,4079.18
04/11/2019,4113.51
05/11/2019,4123.6
06/11/2019,4124.89
07/11/2019,4136.83
08/11/2019,4112.42
11/11/2019,4099.89
12/11/2019,4117.61
13/11/2019,4106.3
14/11/2019,4077.19
15/11/2019,4087.82
18/11/2019,4091.26
19/11/2019,4101.75
20/11/2019,4071.47
21/11/2019,4056.75
22/11/2019,4101.68
25/11/2019,4141.37
26/11/2019,4150.08
27/11/2019,4165.5
28/11/2019,4161.67
